iter	RMSE
0	81431.83538
1	80222.18786
2	79402.16518
3	78070.23067
4	76919.2102
5	75794.63534
6	75017.84412
7	73899.40482
8	73063.98897
9	72190.77907
10	71469.26065
11	70660.39192
12	70074.80694
13	69462.27917
14	68608.22535
15	68105.76142
16	67641.69582
17	67303.09473
18	66531.1712
19	65703.15549
20	64966.8816
21	64185.07241
22	63745.68581
23	63331.08418
24	62770.26076
25	62423.38451
26	62087.84025
27	61788.2976
28	61460.90882
29	61026.35776
30	60801.79173
31	60241.68057
32	59994.76795
33	59659.21755
34	59389.18729
35	58797.21841
36	58578.41096
37	58012.20308
38	57799.482
39	57637.98224
40	57100.19366
41	56570.49352
42	56398.21824
43	56226.46351
44	56093.51252
45	55597.74347
46	55528.83265
47	55016.76865
48	54853.16627
49	54376.49295
50	53892.93288
51	53733.37672
52	53268.50039
53	53146.36095
54	52810.21778
55	52705.40196
56	52597.82561
57	52536.49669
58	52072.39059
59	51988.06193
60	51940.97056
61	51851.12882
62	51760.5926
63	51687.66531
64	51587.48472
65	51151.33827
66	51075.72915
67	50641.71486
68	50525.23643
69	50467.35333
70	50402.66041
71	50347.07034
72	50270.59831
73	50182.44211
74	50121.66755
75	49695.67665
76	49272.09529
77	48979.95047
78	48732.01274
79	48325.52688
80	48275.96685
81	48202.56671
82	48153.84891
83	48102.41033
84	47959.04004
85	47920.42751
86	47522.28012
87	47458.7665
88	47072.60404
89	46687.53391
90	46642.7405
91	46609.56545
92	46555.25521
93	46181.38501
94	46144.11498
95	46087.9061
96	45704.17134
97	45606.99913
98	45587.13305
99	45411.46387
100	45383.23944
101	45220.60257
102	45115.61839
103	45083.78609
104	44723.72906
105	44687.25975
106	44638.13693
107	44593.40573
108	44238.88025
109	44182.20728
110	44148.81157
111	44079.64443
112	44061.83716
113	44034.59907
114	43990.59492
115	43959.44133
116	43610.37696
117	43272.88878
118	43264.24724
119	43217.24344
120	43078.48736
121	43064.19575
122	43036.3649
123	42704.91235
124	42671.01397
125	42311.45238
126	42293.3033
127	42257.5803
128	42223.49293
129	42108.17587
130	42055.23449
131	42054.57417
132	42025.91022
133	42013.82628
134	41997.388
135	41975.0796
136	41947.10537
137	41934.907
138	41608.87238
139	41395.29471
140	41353.80283
141	41338.59988
142	41319.53645
143	41006.06741
144	40945.303
145	40898.42502
146	40727.17298
147	40715.74293
148	40692.22965
149	40663.3099
150	40607.95412
151	40595.59017
152	40366.22321
153	40321.4253
154	40264.02449
155	39960.31962
156	39953.04299
157	39889.77776
158	39591.6086
159	39581.12759
160	39285.80489
161	39091.98461
162	39074.55484
163	38789.27762
164	38684.03849
165	38677.22231
166	38656.93294
167	38381.51244
168	38342.9887
169	38314.33827
170	38277.01115
171	38004.64224
172	37979.3516
173	37902.2127
174	37615.22933
175	37344.81949
176	37083.22361
177	36822.85367
178	36793.04366
179	36540.4668
180	36521.85914
181	36506.37337
182	36476.12665
183	36456.31355
184	36399.5979
185	36154.2582
186	35917.44867
187	35763.49554
188	35733.68304
189	35708.84742
190	35687.37355
191	35451.10374
192	35221.70448
193	35156.26159
194	35097.78896
195	34868.94549
196	34853.79683
197	34829.58614
198	34823.9143
199	34607.5112
200	34578.68974
201	34356.33595
202	34333.5964
203	34115.54548
204	34082.89004
205	34052.1026
206	34004.16948
207	33980.90328
208	33958.78526
209	33748.49519
210	33539.59944
211	33335.00814
212	33134.57077
213	32937.00691
214	32743.45158
215	32554.47613
216	32369.30498
217	32187.86809
218	32167.19777
219	32140.17262
220	31963.92532
221	31938.83893
222	31926.33194
223	31900.95844
224	31885.44792
225	31710.32148
226	31538.75954
227	31370.69578
228	31206.06527
229	31192.48362
230	31168.37854
231	31145.59352
